               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076779,            0.056666,            0.028519,             0.54614,             0.16727,             0.16227,            0.084821,            0.061735,             0.06898,            0.013125,            0.070031,           0.0033299,           0.0033299
                   1,            0.064476,            0.051469,            0.019899,             0.48716,              0.2495,             0.24929,             0.13633,            0.054582,            0.067772,            0.011081,            0.040009,           0.0066412,           0.0066412
                   2,            0.060898,            0.051128,            0.017894,             0.51264,             0.25712,             0.28281,             0.15499,            0.052787,            0.067882,            0.010648,           0.0099652,           0.0099306,           0.0099306
                   3,            0.057714,            0.051036,            0.016959,             0.47639,              0.2861,             0.30371,             0.16961,             0.05124,            0.067151,           0.0099175,            0.009901,            0.009901,            0.009901
                   4,            0.054675,             0.04986,            0.015838,             0.52922,             0.27779,             0.31521,              0.1733,            0.050785,            0.066909,           0.0094178,            0.009901,            0.009901,            0.009901
                   5,            0.052808,            0.048868,            0.014975,             0.53544,             0.28601,             0.32743,             0.18732,            0.049418,            0.065491,           0.0091083,            0.009868,            0.009868,            0.009868
                   6,            0.051738,            0.048254,            0.014348,             0.52195,             0.30909,             0.33912,             0.19648,            0.048568,            0.064713,           0.0086403,            0.009835,            0.009835,            0.009835
                   7,            0.050843,            0.047684,            0.013801,             0.56832,             0.29987,             0.34995,             0.19976,            0.048354,              0.0646,           0.0083989,            0.009802,            0.009802,            0.009802
                   8,            0.050261,             0.04712,            0.013336,             0.41126,             0.33119,             0.34417,             0.19961,            0.048084,            0.064401,            0.008278,            0.009769,            0.009769,            0.009769
                   9,            0.049681,            0.046896,            0.012896,             0.45051,             0.33153,             0.35239,             0.20857,            0.048065,            0.064832,           0.0082603,            0.009736,            0.009736,            0.009736
                  10,            0.049315,             0.04641,            0.012475,             0.55961,             0.32674,             0.35321,             0.21081,            0.047751,            0.063997,           0.0082943,            0.009703,            0.009703,            0.009703
                  11,            0.048832,            0.046061,            0.012108,             0.44033,              0.3561,              0.3652,             0.21789,            0.047475,            0.063714,           0.0081354,             0.00967,             0.00967,             0.00967
                  12,            0.048321,            0.045716,            0.011768,              0.6087,             0.31924,             0.35697,             0.21641,            0.047311,             0.06361,           0.0081389,            0.009637,            0.009637,            0.009637
                  13,            0.048115,            0.045605,            0.011535,             0.40448,             0.34369,             0.35321,             0.21041,            0.047151,            0.063659,           0.0082094,            0.009604,            0.009604,            0.009604
                  14,            0.047826,            0.045286,            0.011191,             0.49561,             0.35248,             0.37361,             0.22026,            0.047013,            0.063389,           0.0080233,            0.009571,            0.009571,            0.009571
                  15,            0.047469,            0.045017,            0.010904,             0.50018,             0.32609,             0.36993,             0.21883,            0.046822,            0.063332,           0.0078643,            0.009538,            0.009538,            0.009538
